Book Title, Book Rating
Koheles/Ecclesiastes: A New Translation with a Commentary Anthologized from Talmudic, Midrashic, and Rabbinic Sources,really liked it
4.00 avg rating — 2 ratings
Junkyard Wisdom: Resisting the Whisper of Wealth in a World of Broken Parts,4.25 avg rating — 16 ratings
Learning to Drive into the Now:PRND,4.67 avg rating — 6 ratings
The Politics of Promotion: How High-Achieving Women Get Ahead and Stay Ahead,3.81 avg rating — 42 ratings
FearFlip: Following Fear to Find Your Freedom,3.90 avg rating — 10 ratings
The Dusk And Dawn Master: A Practical Guide to Transforming Evening and Morning Habits, Achieving Better Sleep, and Mastering Your Life,liked it
3.00 avg rating — 2 ratings
Till Tomorrow,3.71 avg rating — 14 ratings
Words Never Spoken: A Book of Spoken Word,4.64 avg rating — 11 ratings
Think from the Heart, Love from the Mind,4.40 avg rating — 15 ratings
Through the Mind's Eye: A Journey of Self-Discovery,4.15 avg rating — 55 ratings
Designer Mindset: Change your mind, Change your life,it was amazing
5.00 avg rating — 3 ratings
Bertrand Court,3.34 avg rating — 419 ratings
In Search Of My Sexy Old Self: Re-discovering sex after sixty and beyond,4.71 avg rating — 7 ratings
10 Day Green Smoothie Cleanse: Lose 15lbs with 10 Day Green smoothie diet For Weight Loss. Weight loss green smoothie recipes,green smoothies: Sip Up, Slim Down ! Lose upto 15 Lbs in 10 Days!,3.93 avg rating — 14 ratings
Underspent: How I Broke My Shopping Addiction and Buying Habit,3.38 avg rating — 29 ratings
Lucky Go Happy: Make Happiness Happen!,4.40 avg rating — 65 ratings
Full Color Life: How to Live a Creative, Balanced Life,4.67 avg rating — 9 ratings
The Consumption Cleanse - Food: Giving up 13 consumption habits in 13 weeks for a better life and a healthier planet,4.12 avg rating — 16 ratings
No Barriers: A Blind Man's Journey to Kayak the Grand Canyon,4.30 avg rating — 221 ratings
She Is Without Limits,it was amazing
5.00 avg rating — 5 ratings
Got Health-Style?,3.83 avg rating — 6 ratings
Happiness is a choice: The most important decision in life,4.43 avg rating — 14 ratings
The Perks of Being a Wallflower,4.20 avg rating — 1,059,742 ratings
Paths to Wholeness: Fifty-Two Flower Mandalas,4.55 avg rating — 11 ratings
Managing Oneself,4.13 avg rating — 6,252 ratings
Untying the Fine Knots: How to Deal with Divorce,3.86 avg rating — 7 ratings
How Two Love: Making your relationship work and last,4.80 avg rating — 5 ratings
Get Control of Sugar Now!: Great Choices For Your Healthy Future,3.70 avg rating — 30 ratings
Lessons from a CF Cornerman: 38 Lessons I Learned During My Wife's Illness And Lung Transplant,4.78 avg rating — 18 ratings
Rabbit Warrior,really liked it
4.00 avg rating — 1 rating
Stretch: Unlock the Power of Less - and Achieve More Than You Ever Imagined,3.70 avg rating — 399 ratings
The Achievers: A Personal Success Handbook,really liked it
4.00 avg rating — 2 ratings
Bullshit in Psychotherapy: From an ego to a soul driven encounter,4.75 avg rating — 4 ratings
Warrior Goddess Training: Become the Woman You Are Meant to Be,4.15 avg rating — 1,531 ratings
Empath: Life Of An Empath: How To Live A Normal Life When The World Consumes You (Energy, Intuitive, Highly sensitive, Psychic Book 1),4.17 avg rating — 6 ratings
Eat. Stop. Eat,3.91 avg rating — 703 ratings
The Secret to Success,4.20 avg rating — 1,520 ratings
"Soup Sandwich" Survival:,it was amazing
5.00 avg rating — 1 rating
Rescued Royal: Sex, Drugs, and Jesus - Walking Through Hell and Colliding with Love,4.80 avg rating — 5 ratings
Ur: You Are Who You Choose to Be,it was amazing
5.00 avg rating — 1 rating
If You're Comfortable, You're Not Growing: Finding Your Tremendous,really liked it
4.00 avg rating — 3 ratings
Single But Dating: A Field Guide to Dating in the Digital Age,4.85 avg rating — 106 ratings
Reprogram Yourself for UNSTOPPABLE Self-Confidence: Your Power Guide to Squashing Self-Doubt and Worry,it was amazing
5.00 avg rating — 2 ratings
The Culprit and The Cure: Why lifestyle is the culprit behind America's poor health,4.04 avg rating — 242 ratings
Your Invisible Toolbox: The Technological Ups and Interpersonal Downs of the Millennial Generation,4.38 avg rating — 8 ratings
Business, Balance and Bliss: How the B3 Method Can Transform Your Career and Life,4.75 avg rating — 4 ratings
Motivational Interviewing: Preparing People for Change,4.19 avg rating — 2,332 ratings
You've Got 8 Seconds: Communication Secrets for a Distracted World,3.85 avg rating — 87 ratings
Drug of Choice: The Inspiring True Story Of The One-Armed Criminal Who Mastered Love And Made Millions,4.07 avg rating — 56 ratings
Keep Calm and Go Crazy : A Guide to finding your Inner Hero,4.62 avg rating — 16 ratings
Single, Shy, and Looking for Love: A Dating Guide for the Shy and Socially Anxious,really liked it
4.00 avg rating — 23 ratings
Being Indie: A No Holds Barred, Self Publishing Guide for Indie Authors,4.64 avg rating — 33 ratings
SELF HELP Because I Don't Have A Clue How To,3.38 avg rating — 8 ratings
Shift: Creating Better Tomorrows: Winning at Work and in Life,4.14 avg rating — 28 ratings
On Being Awesome: A Unified Theory of How Not to Suck,3.30 avg rating — 60 ratings
Living a Wealthy Life: Stories of Gaining an Abundance in All Five Forms of Wealth,it was amazing
5.00 avg rating — 9 ratings
Inner Peace Outer Abundance,it was amazing
5.00 avg rating — 9 ratings
Anxiety Cure: Scientifically Proven Ways to Reduce Anxiety Symptoms,it was amazing
5.00 avg rating — 1 rating
Surfing Your Inner Sea: Essential Lessons for Lasting Serenity,4.23 avg rating — 13 ratings
Zero F*cks Given: The 21st Century Man's Guide to Deep Self-Confidence,4.15 avg rating — 13 ratings
The Coach Within: 28 Big Ideas for Engaging the Power of Your Own Wisdom, Creativity, and Choices,3.83 avg rating — 6 ratings
HOW TO BE A SUCCESSFUL SLAVE: Using LAME Methodology,it was amazing
5.00 avg rating — 4 ratings
What You Can Change and What You Can't: The Complete Guide to Successful Self-Improvement,3.89 avg rating — 964 ratings
The Forward-Looking Manager in a VUCA World,it was amazing
5.00 avg rating — 1 rating
The Front Row Factor: Transform Your Life with the Art of Moment Making,4.44 avg rating — 61 ratings
Principles: Life and Work,4.24 avg rating — 7,016 ratings
The Happy Hero,4.48 avg rating — 23 ratings
LOYAL: A Leader's Guide to Winning Customer and Employee Loyalty,4.62 avg rating — 8 ratings
Meditations on Self-Discipline and Failure: Stoic Exercise for Mental Fitness,4.29 avg rating — 51 ratings
The Right-brain Business Plan: A Creative, Visual Map for Success,3.99 avg rating — 568 ratings
Soul Food, A 90 Day Journey of Self Discovery While Building Nourishing Habits,it was amazing
5.00 avg rating — 11 ratings
The Backwards K,4.30 avg rating — 27 ratings
Sour Grapes into Wine: How to Leave a Toxic Relationship to Create a Productive Lifestyle,it was amazing
5.00 avg rating — 2 ratings
Angelical Wisdoms: Messages to nourish the soul,0.00 avg rating — 0 ratings
The Authenticity Dilemma Resolved: Unleashing Your Passion and Purpose to Live More Authentically,it was amazing
5.00 avg rating — 2 ratings
7 Powerful Questions to Discover Your Dream Life,4.60 avg rating — 10 ratings
Spaz: The True Story of My Life with Adhd,4.71 avg rating — 14 ratings
Naturally Thin: Lasting Weight Loss without Dieting,4.12 avg rating — 49 ratings
Pick Up Women: Rise of the Authentic Lover - From Your First Hi To The Point Of Undressing Her (Honest Guide To 21st Century Seduction/Pick Up Guide Without BS),liked it
3.00 avg rating — 3 ratings
The Successful Millennial: Tips for Navigating the Corporate Jungle,it was amazing
5.00 avg rating — 2 ratings
Becoming Supernatural: How Common People Are Doing the Uncommon,4.39 avg rating — 400 ratings
Where Has Grandpa Murray Gone?,it was amazing
5.00 avg rating — 1 rating
The Science of Self-Discipline: The Willpower, Mental Toughness, and Self-Control to Resist Temptation and Achieve Your Goals,4.15 avg rating — 201 ratings
The Mercury Formula: Three Steps to Self Transformation,4.71 avg rating — 17 ratings
From Heartbreak to Wholeness,4.32 avg rating — 22 ratings
Choose Wonder Over Worry: Move Beyond Fear and Doubt to Unlock Your Full Potential,3.90 avg rating — 210 ratings
The Abundance Book,3.96 avg rating — 23 ratings
The Essential Nisargadatta,4.50 avg rating — 10 ratings
So You Want to Vlog?: How to start from scratch, find your voice & share your stories,4.83 avg rating — 6 ratings
Organizing Your Home with SORT and SUCCEED: Five simple steps to stop clutter before it starts, save money and simplify your life (SORT and SUCCEED Organizing Solutions Series),4.06 avg rating — 63 ratings
Year of Yes,4.07 avg rating — 42,720 ratings
5 Minute Vacations,4.50 avg rating — 4 ratings
Seven Yoga Habbits That Can Transform Your Life: Seven Yoga Sins to Avoid,it was amazing
5.00 avg rating — 3 ratings
I'm OK - You're OK,3.72 avg rating — 14,616 ratings
Shine Little Light: Kids Edition,4.45 avg rating — 100 ratings
Rock Solid: From the Bedroom to the Boardroom,it was amazing
5.00 avg rating — 3 ratings
When Helping You Is Hurting Me: Escaping the Messiah Trap,4.36 avg rating — 39 ratings
10 Takes--Pacific Northwest Writers: Perspectives on Writing,it was amazing
5.00 avg rating — 2 ratings
Willpower Doesn't Work: Discover the Hidden Keys to Success,4.30 avg rating — 474 ratings
Change: What Really Leads to Lasting Personal Transformation,4.32 avg rating — 22 ratings
Paths of Fear: An Anthology of Overcoming Through Courage, Inspiration, and the Miracle of Love (Pebbled Lane Books Book 1),4.70 avg rating — 10 ratings
Smashing Glass & Kicking Ass: Lessons from The Meanest Woman Alive,it was amazing
5.00 avg rating — 6 ratings
Wake Up, Humans!: The Chiropractic Principle That Restores the Body’s Innate Healing Power, Transforms Lives, and Unlocks Human Purpose,it was amazing
5.00 avg rating — 6 ratings
Lerkus: A Journey to End All Suffering,it was amazing
5.00 avg rating — 1 rating
It's Not A Hard Habit To Break: How To Develop Good Habits For Success In All Areas Of Your Life,it was amazing
5.00 avg rating — 1 rating
Self-Compassion: The Proven Power of Being Kind to Yourself,4.12 avg rating — 5,850 ratings
Ashtavakra Gita: The Ultimate Solace,4.40 avg rating — 5 ratings
Success Through a Positive Mental Attitude,4.34 avg rating — 5,945 ratings
Seven practical ways to self-confidence,it was amazing
5.00 avg rating — 1 rating
Assessment of Autism Spectrum Disorder: Critical Issues in Clinical, Forensic and School Settings,it was amazing
5.00 avg rating — 1 rating
The American Dream, Revisited: Ordinary People, Extraordinary Results,it was amazing
5.00 avg rating — 2 ratings
The End of Procrastination: How to Stop Postponing and Live a Fulfilled Life,4.75 avg rating — 4 ratings
True Dummy - a fable of existence,4.92 avg rating — 136 ratings
Practicing the Power of Now: Essential Teachings, Meditations, and Exercises from the Power of Now,4.25 avg rating — 32,599 ratings
College Shortcuts: An Express Undergraduate Degree with Zero Student Loans: Reviews of The Best Colleges, Free Online Courses, College Transfers and More ... Planning and Career Counseling Series,3.43 avg rating — 7 ratings
Leaders Get Up: Fulfilling the Call of Royalty,it was amazing
5.00 avg rating — 2 ratings
A Deal with God: The Power of One,3.97 avg rating — 72 ratings
Animal Moves: How to Move Like an Animal to Get You Leaner, Fitter, Stronger and Healthier for Life,4.64 avg rating — 14 ratings
The 10 Things I Wish I Knew Before I Started Freelancing: What nobody else has told you,it was amazing
5.00 avg rating — 26 ratings
The ACTIONS: 7 Steps To Awaken A New Mindset To Achieves New Results.,it was amazing
5.00 avg rating — 1 rating
Think Like a Winner - ACT Like You Won: Unleashing Power, Purpose, and Victory in Your Life,it was amazing
5.00 avg rating — 1 rating
A Year of Living Kindly: Choices That Will Change Your Life and the World Around You,4.43 avg rating — 7 ratings
Get Out of That Pit!: Straight Talk about God's Deliverance,4.33 avg rating — 5,933 ratings
Legacy of the Heart: The Spiritual Advantage of a Painful Childhood,4.29 avg rating — 182 ratings
Broken Open: How Difficult Times Can Help Us Grow,4.17 avg rating — 4,187 ratings
The Hand of God (Mark Miller's One, #4),it was amazing
5.00 avg rating — 7 ratings
Prayers: A Communion with Our Creator,4.27 avg rating — 278 ratings
Top Life Coaching Tips: Live Each Day with More Peace, Passion, Energy and Joy,it was amazing
5.00 avg rating — 3 ratings
mBraining: Using your multiple brains to do cool stuff,4.08 avg rating — 64 ratings
Codependency for Dummies,4.26 avg rating — 192 ratings
Quest, Inc.,3.48 avg rating — 25 ratings
Manga Messiah,4.38 avg rating — 653 ratings
Appears Younger Than Stated Age,really liked it
4.00 avg rating — 8 ratings
The How of Happiness: A Scientific Approach to Getting the Life You Want,3.95 avg rating — 6,114 ratings
The Secrets of Being Happy, The Technology of Hope, Health and Harmony,4.07 avg rating — 57 ratings
How I Met the Man of My Dreams: a guide to MANifesting yours,4.27 avg rating — 22 ratings
Soul Whispers: Collective Wisdom from Soul Coaches Around the World (Soul Whispers, #1),4.30 avg rating — 10 ratings
How to Sell Your Business for the Price You Want...,4.77 avg rating — 13 ratings
Positivity the Key to Life: The Power of Thinking Positive,0.00 avg rating — 0 ratings
Too Big to Fail: The Inside Story of How Wall Street and Washington Fought to Save the Financial System from Crisis — and Themselves,4.10 avg rating — 30,602 ratings
SIMPLY INFILTRATING THOUGHT "You Will Only Understand Self Ability Via A Self Push" "Holistic Combination Discovery",it was amazing
5.00 avg rating — 2 ratings
A Complaint Free World: How to Stop Complaining and Start Enjoying the Life You Always Wanted,3.93 avg rating — 2,034 ratings
50 Things To Know To Stick With A Workout: Motivational Tips To Start The New You Today (50 Things to Know Healthy Living Series Book 4),4.17 avg rating — 6 ratings
Strengths Finder 2.0,3.93 avg rating — 39,028 ratings
ACT Made Simple: An Easy-To-Read Primer on Acceptance and Commitment Therapy,4.32 avg rating — 555 ratings
A Women's Tool for Self-Empowerment: Encouraging Yourself,4.80 avg rating — 5 ratings
Reflections of Mamie - A Story of Survival,4.46 avg rating — 83 ratings
Get Things Done and Feel Great: 115 Holistic Ways to Increase Productivity and Boost Your Energy,4.50 avg rating — 2 ratings
Nothing Is Impossible: 7 Steps to Realize Your True Power and Maximize Your Results,4.12 avg rating — 69 ratings
Overcome Your Fear of Homeschooling with Insider Information,4.11 avg rating — 28 ratings
Matrix Model Management System: Guide to Cross Cultural Wisdom,it was amazing
5.00 avg rating — 1 rating
The Seven Principles for Making Marriage Work: A Practical Guide from the Country's Foremost Relationship Expert,4.20 avg rating — 12,214 ratings
Soul Self: How to Tame Your Mind, Uncover Your Blueprint & Live Your Soul Purpose (Soul Self Living, #1),3.53 avg rating — 17 ratings
Extraordinary You: A Woman's Guide to Having it All,really liked it
4.00 avg rating — 13 ratings
How to do everything and be happy,3.83 avg rating — 265 ratings
The Book of Good Practices Vol. III: How to Empower Yourself and Influence Others,4.67 avg rating — 6 ratings
The Missing Piece,4.72 avg rating — 18 ratings
The Power of Labels: How Do We Get Labeled? How Do Labels Predetermine Our Lives? How to Get Rid of Them and Live a Happier Life...,4.60 avg rating — 5 ratings
What Men Really Want: An Online Dating Guide for Women,3.50 avg rating — 6 ratings
Self-Esteem: A proven program of cognitive techniques for assessing, improving and maintaining your self-esteem,3.98 avg rating — 921 ratings
Living in Grace: The Shift to Spiritual Perception,4.25 avg rating — 8 ratings
The Law of Divine Compensation: On Work, Money, and Miracles,4.22 avg rating — 2,063 ratings
My Five Stages of Grief - A Father's Journey to Recovery from Bereavement,4.89 avg rating — 9 ratings
Happy Lemons: How Laughter Breeds Success,4.47 avg rating — 19 ratings
Be the Rainbow * Bridge Heaven and Earth: How-To Manual for Integrating Alternative and Evidence-Based Medicine,it was amazing
5.00 avg rating — 5 ratings
MAN-ERISMS: Being a Success in a Masculine World,4.27 avg rating — 11 ratings
Boundaries: When to Say Yes, How to Say No, to Take Control of Your Life,4.19 avg rating — 38,045 ratings
The Unlikely Entrepreneur,it was amazing
5.00 avg rating — 1 rating
The Human Body,0.00 avg rating — 0 ratings
Finding the S Spot Career Pleasure Secrets for Merging Skills,it was amazing
5.00 avg rating — 2 ratings
Problem Solver: An Amazing Way to Deal with Problems and Personal Challenges (Best Business Books Book 10),4.50 avg rating — 2 ratings
The Leader Code: Crack this once hidden code to become an effective leader!,4.71 avg rating — 7 ratings
The Bonobo Way,4.38 avg rating — 37 ratings
Getting to Yes with Yourself:,3.90 avg rating — 679 ratings
In Loving You - A Journey of Love and Self Discovery,4.67 avg rating — 12 ratings
Throw Out Fifty Things: Clear the Clutter, Find Your Life,3.47 avg rating — 2,152 ratings
Life Lessons from Nature: Motivational Speaker, Military Strategist, Political Advisor, Scientist & Engineer, Foster Parent,4.68 avg rating — 73 ratings
The Misadventures of Me and My Uterus,3.89 avg rating — 27 ratings
Quit Skinny!: 7 Simple, Sane Steps to Wellness,4.62 avg rating — 13 ratings
Is He Cheating?: How To Spot The Tell-Tale Signs Of Infidelity,4.50 avg rating — 2 ratings
Scattered: How Attention Deficit Disorder Originates and What You Can Do About It,4.27 avg rating — 990 ratings
Instant Productivity - How to Be Productive to Get Things Done Easier and Faster Instantly!,it was amazing
5.00 avg rating — 4 ratings
Happy at Work: 60 Simple Ways to Stay Engaged and Be Successful,3.41 avg rating — 44 ratings
NO STRESS TODAY WITH PSYCH-K®: How to transform stress into vitality, peace and a stress-free fulfilling life,4.25 avg rating — 12 ratings
The Hope Handbook for Couples: The Search for Personal Growth,4.62 avg rating — 8 ratings
Driven to Succeed: How to Start Your Career after College,4.02 avg rating — 42 ratings
Do It Tomorrow and Other Secrets of Time Management,3.93 avg rating — 545 ratings
Children's Book: Camelea Like a Lobster (Camelea, #2),3.89 avg rating — 9 ratings
Wir Alphamädchen: Warum Feminismus das Leben schöner macht,3.41 avg rating — 56 ratings
Be Your Own Life Coach,3.82 avg rating — 138 ratings
How to Live: A Life of Montaigne in One Question and Twenty Attempts at An Answer,4.12 avg rating — 4,847 ratings
Journal of the Unknown Prophet: A Visitation of Jesus Christ,4.40 avg rating — 120 ratings
The Way of the Superior Man: A Spiritual Guide to Mastering the Challenges of Women, Work, and Sexual Desire,4.12 avg rating — 9,834 ratings
Restore Your Marriage And Fall in Love Again,3.27 avg rating — 40 ratings
Lila (Gilead, #3),3.91 avg rating — 23,515 ratings
Crazy Busy: A (Mercifully) Short Book about a (Really) Big Problem,4.11 avg rating — 4,328 ratings
Who's in Charge? Free Will and the Science of the Brain,3.97 avg rating — 2,255 ratings
The Same Sky,3.84 avg rating — 5,250 ratings
The Sober Truth: Debunking the Bad Science Behind 12-Step Programs and the Rehab Industry,3.89 avg rating — 309 ratings
The Pursuit of God: The Human Thirst for the Divine,4.34 avg rating — 48,108 ratings
No Solid Ground: Renewable Contentment and Sustainable Happiness in an Age of Uncertainty,4.24 avg rating — 21 ratings
Your Leadership Edge,3.93 avg rating — 61 ratings
The Chapter of Enlightenment,it was amazing
5.00 avg rating — 11 ratings
Bound Before the Morrow,3.89 avg rating — 19 ratings
How to Get Your Boyfriend Back: From the Husband He Turned Into,4.10 avg rating — 52 ratings
A Technique for Producing Ideas,4.03 avg rating — 3,281 ratings
Wide Awake. Every Day. (Wide Awake, #1),4.64 avg rating — 11 ratings
How to Network: Even If You're as Shy as I Was,4.25 avg rating — 4 ratings
The Big Book of Quotes: Funny, Inspirational and Motivational Quotes on Life, Love and Much Else,3.70 avg rating — 40 ratings
Still Standing After All the Tears Workbook: Nine Actions to Battle Your Beast,0.00 avg rating — 0 ratings
How to Grow Up,3.62 avg rating — 1,286 ratings
The Highly Sensitive Person: How to Thrive When the World Overwhelms You,3.88 avg rating — 23,622 ratings
40 Days to a Joy-Filled Life: Living the 4:8 Principle,4.25 avg rating — 253 ratings
What Color Is Your Parachute? 2015,3.68 avg rating — 10,124 ratings
RESOLUTION to be HAPPY - Banish Stress & Anxiety Forever: 30 proactive self help actions to improve your health, relationships & business,4.09 avg rating — 11 ratings
Online Business Exposure: Get your Business on the First page of Google!,really liked it
4.00 avg rating — 4 ratings
Money: DontBeStupid.club Answers to Budgeting, Debt and Other Personal Finance Questions,3.83 avg rating — 6 ratings
Divorced and Scared No More! Bk 1: Emotional Support for the Newly Divorced,4.83 avg rating — 23 ratings
What Women Really Want from Men: A Step-by-Step Dating Manual,really liked it
4.00 avg rating — 5 ratings
What Does it Mean to be White in America?: Breaking the White Code of Silence, A Collection of Personal Narratives,3.22 avg rating — 9 ratings
The Power of Vulnerability: Teachings of Authenticity, Connections and Courage,4.58 avg rating — 7,220 ratings
God Where Is My Boaz,4.18 avg rating — 641 ratings
God's Promises For You: Divine Promises and Affirmations For Your Success, All-round Prosperity and Total Well-being,3.67 avg rating — 3 ratings
Start with Why: How Great Leaders Inspire Everyone to Take Action,4.07 avg rating — 59,240 ratings
Man's Search for Himself,4.21 avg rating — 1,941 ratings
Three Feet From Gold: Turn Your Obstacles Into Opportunities,4.31 avg rating — 869 ratings
21 Days to a Big Idea!: Creating Breakthrough Business Concepts,3.49 avg rating — 35 ratings
Know Thyself - Unraveling the Mystery of Mind,really liked it
4.00 avg rating — 23 ratings
Studio Stories: Illuminating Our Lives through Art,4.27 avg rating — 11 ratings
Tools of Titans: The Tactics, Routines, and Habits of Billionaires, Icons, and World-Class Performers,4.22 avg rating — 15,226 ratings
Smarter Faster Better: The Secrets of Being Productive in Life and Business,3.91 avg rating — 17,979 ratings
A Hole in Science: An Opening for an Alternative Understanding of Life,3.87 avg rating — 15 ratings
Dr. Fred's Healthcare Rescue: The Real Solution to Healthcare,4.33 avg rating — 6 ratings
Buffering: Unshared Tales of a Life Fully Loaded,4.28 avg rating — 8,704 ratings
SWAP: Simple ideas that will inspire you to transform your life from ordinary to successful,it was amazing
5.00 avg rating — 2 ratings
Everything I needed To Know I learned In Hell: Some Thoughts on Turning Darkness Into Light, or How To Escape The Mess You've Made,4.56 avg rating — 9 ratings
The Complete Freelancer Guide: Become Your Own Boss, Do What You Love, and Make Money Doing It,really liked it
4.00 avg rating — 2 ratings
UR: You Are Who You Choose To Be,it was amazing
5.00 avg rating — 1 rating
How to Conquer Your Fears and Live an UNSTOPPABLE LIFE of Victory,4.67 avg rating — 6 ratings
Strategies For Surviving Bullying at Work,really liked it
4.00 avg rating — 1 rating
Lifestyle Entrepreneur: Live Your Dreams, Ignite Your Passions and Run Your Business From Anywhere in The World,3.60 avg rating — 42 ratings
Oh, wie schön ist Panama,4.32 avg rating — 4,894 ratings
Quest for War: And One Green Beret's Subsequent Evolution,4.78 avg rating — 9 ratings
Handbook for Personal Healing,it was amazing
5.00 avg rating — 3 ratings
Meditation Saved My Life: A Tibetan Lama and the Healing Power of the Mind,4.29 avg rating — 28 ratings
Mindful Choices for Well-Being: Mindful Awareness, Great Choices, Powerful Habits--with Mindful Choices Therapy,4.20 avg rating — 5 ratings
Brave Enough,3.91 avg rating — 6,942 ratings
A Guide to the Good Life: The Ancient Art of Stoic Joy,4.20 avg rating — 9,067 ratings
The Yoga of Leadership: A Practical Guide to Health, Happiness, And Inspiring Total Team Engagement,4.46 avg rating — 13 ratings
Virginity: Sex and Virginity in Women,it was amazing
5.00 avg rating — 1 rating
The Sacred Balance (Cerebrante Trilogy, #1),0.00 avg rating — 0 ratings
Addiction Recovery DIY: Do it Yourself - Conquer Your Drug or Alcohol Addiction at Home,4.98 avg rating — 45 ratings
The Happiness Curve: Why Life Gets Better After 50,3.61 avg rating — 240 ratings
How I Resist: Activism and Hope for the Next Generation,3.91 avg rating — 460 ratings
Out Of The Darkness: From Turmoil To Transformation,4.10 avg rating — 63 ratings
Own It: The Power of Women at Work,4.01 avg rating — 486 ratings
The Brave Athlete: Calm the F*ck Down and Rise to the Occasion,3.99 avg rating — 260 ratings
The Joy of Sex,3.62 avg rating — 2,230 ratings
God And The Evolving Universe,3.55 avg rating — 181 ratings
The Red Tent,4.16 avg rating — 469,389 ratings
Is Your Body Trying to Tell You Something? : Why It Is Wise to Listen to Your Body and How Massage and Body Work Can Help,really liked it
4.00 avg rating — 3 ratings
Paths of Fear: An Anthology of Overcoming Through Courage, Inspiration, and Love,4.33 avg rating — 6 ratings
Choosing Light: When an Earthquake Buried Me and My Family for 5 Days, I Learned to Fully Live,4.11 avg rating — 94 ratings
Go 4 It: A Guide on How to Boost Your Self Esteem, Face Challenges, Set Up Goals and Accomplish Them,4.60 avg rating — 10 ratings
Binding Chaos: Mass Collaboration on a Global Scale,4.59 avg rating — 34 ratings
Scrapes and Scars: No Secrets,4.33 avg rating — 3 ratings
The Art of Peace,4.25 avg rating — 2,923 ratings
Chinese Astrology for Love and Relationships,it was amazing
5.00 avg rating — 7 ratings
My Mind Is Not Always My Friend, a Guide for How to Not Get in Your Own Way,4.04 avg rating — 28 ratings
Pre Middle Age: 40 Lessons in Growing the Hell Up,3.33 avg rating — 6 ratings
The Heart of the Soul: Emotional Awareness,4.10 avg rating — 1,124 ratings
Neuro-Linguistic Programming Workbook for Dummies,3.83 avg rating — 54 ratings
Living Beyond Yourself: Exploring the Fruit of the Spirit - Member Book,4.51 avg rating — 1,676 ratings
For the Love of All (Mark Miller's One, #5),4.93 avg rating — 15 ratings
Living Successfully and Joyfully Every Day: 90 Days of Inspiration,3.43 avg rating — 7 ratings
The Mindfulness Solution: Everyday Practices for Everyday Problems,4.05 avg rating — 667 ratings
A Joseph Campbell Companion: Reflections on the Art of Living,4.41 avg rating — 2,009 ratings
From My Mama's Kitchen: Food for the Soul, Recipes for Living,3.27 avg rating — 64 ratings
Observation City,4.44 avg rating — 32 ratings
The Gerson Therapy -- Revised,4.16 avg rating — 851 ratings
SIMPLY INFILTRATING THOUGHT "You Will Only Understand Self Ability Via A Self Push" "Holistic Combination Discovery",it was amazing
5.00 avg rating — 1 rating
No Excuses, The Fit Mind-Fit Body Strategy Book (3 Off the Tee, #3),3.98 avg rating — 43 ratings
50 Things to Know About Going Green: Simple Changes to Start Today,liked it
3.00 avg rating — 2 ratings
The Miracle of Flowers,4.25 avg rating — 12 ratings
The Emotional Extremist's Guide to Handling Cartoon Elephants: How to Solve Elephantine Emotional Problems Without Getting Run Over, Chased, Flattened,4.31 avg rating — 16 ratings
365 Days of Empowerment Journal,4.33 avg rating — 6 ratings
Who Will Cry When You Die? Life Lessons from the Monk Who Sold His Ferrari,3.96 avg rating — 12,050 ratings
Messages From The Ancient Ones: Year One (Messages From The Ancient Ones, #1),4.33 avg rating — 3 ratings
The Book of Good Practices Vol. I: Learning Mindfulness and Self-Awareness,4.22 avg rating — 9 ratings
Embrace Today! Put Procrastination in the Past (Lifestyle Transformation Series),really liked it
4.00 avg rating — 1 rating
Stress Free Kids: A Parent's Guide to Helping Build Self-Esteem, Manage Stress, and Reduce Anxiety in Children,3.98 avg rating — 46 ratings
Your Love Will Never Grow,4.33 avg rating — 3 ratings
Design Your Destiny: Shape Your Future in 12 Easy Steps,4.56 avg rating — 18 ratings
Love Yourself Like Your Life Depends on It,3.95 avg rating — 7,772 ratings
Ignorant, Pathless, Characterless, Spontaneous, Inactive: How These Qualities Will Make You Happy,4.11 avg rating — 9 ratings
May Cause Miracles: A 40-Day Guidebook of Subtle Shifts for Radical Change and Unlimited Happiness,3.93 avg rating — 2,570 ratings
A Suffering Soul: Dark Love Poems (Dark Love Poetry Book 1),really liked it
4.00 avg rating — 53 ratings
Mentor Me: GA=T+E—A Formula to Fulfill Your Greatest Achievement,4.19 avg rating — 59 ratings
Winning Without Losing: 66 Strategies for Succeeding in Business While Living a Happy and Balanced Life,3.92 avg rating — 180 ratings
What Matters Most: The Power of Living Your Values,4.04 avg rating — 168 ratings
Regular People of the Weak: A Rebel's Experience with the Spiritual Chief of Poets,4.78 avg rating — 9 ratings
The Office Workout: 75 Exercises to do at Your Desk,3.77 avg rating — 22 ratings
Annabran Documents, The Holy Book of Pantheism,4.38 avg rating — 13 ratings
Visual Inspirations: A Visual Guide of Inspiring Words And Quotes,3.67 avg rating — 3 ratings
Headhunters Revealed!: Career Secrets for Choosing and Using Professional Recruiters,4.14 avg rating — 7 ratings
Organize Every Day: An Amazing Way to Get the Most Out of Any Day - 7 Steps to Organize Your Life & Get More Things Done (Self Improvement & Habits Book 2),3.77 avg rating — 13 ratings
Courageous Leadership,4.12 avg rating — 3,103 ratings
Spirituality 101 for Dropouts in the School of Life,3.61 avg rating — 36 ratings
Eat That Frog!: 21 Great Ways to Stop Procrastinating and Get More Done in Less Time,3.87 avg rating — 30,782 ratings
